Part Number,Density,Part Status,Width,Voltage,Package,Pin Count,MT/s,Op. Temp.
MT29F4G08ABADAWP-AITX,4Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F4G08ABADAWP-IT,4Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F4G08ABADAWP-ITX,4Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F4G08ABAEAH4,4Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),0C to +70C
MT29F4G08ABAEAH4-ITS,4Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G08ABAEAWP,4Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),0C to +70C
MT29F4G08ABAEAWP-IT,4Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F4G08ABAFAH4-AAT,4Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F4G08ABAFAH4-AIT,4Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G08ABAFAH4-IT,4Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G08ABAFAM70A3WC1,4Gb,Production,x8,3.3V,Wafer,(Empty),(Empty),0C to +70C
MT29F4G08ABAFAWP-AAT,4Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +105C
MT29F4G08ABAFAWP-AIT,4Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F4G08ABAFAWP-IT,4Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G08ABBDAH4,4Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),0C to +70C
MT29F4G08ABBDAH4-AITX,4Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G08ABBDAH4-IT,4Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G08ABBDAH4-ITX,4Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G08ABBDAHC-AIT,4Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G08ABBDAHC-IT,4Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G08ABBDAM60A3WC1,4Gb,Contact Factory,x8,1.8V,Wafer,n/a,(Empty),0C to +70C
MT29F4G08ABBEAH4,4Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),0C to +70C
MT29F4G08ABBEAH4-IT,4Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G08ABBFAH4-AAT,4Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F4G08ABBFAH4-AIT,4Gb,Sampling,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G08ABBFAH4-AITES,4Gb,Sampling,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G08ABBFAH4-IT,4Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G08ABBFAM70A3WC1,4Gb,Production,x8,1.8V,Wafer,(Empty),(Empty),0C to +70C
MT29F4G16ABADAH4-AIT,4Gb,Production,x16,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G16ABADAWP-AIT,4Gb,Production,x16,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F4G16ABBDAH4-AIT,4Gb,Production,x16,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G16ABBDAH4-IT,4Gb,Production,x16,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G16ABBFAH4-AAT,4Gb,Sampling,x16,1.8V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F64G08AECABH1-10ITZ,64Gb,Production,x8,3.3V,VBGA,100-ball,200 MT/s,-40C to +85C
MT29F64G08AECDBJ4-6,64Gb,Production,x8,3.3V,VBGA,132-ball,333 MT/s,0C to +70C
MT29F64G08AFAAAWP-ITZ,64Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F64G08AJABAWP-IT,64Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F8G01ADAFD12-AAT,8Gb,Production,x1,3.3V,TBGA,24-ball,133 MT/s,-40C to +105C
MT29F8G01ADAFD12-IT,8Gb,Production,x1,3.3V,TBGA,24-ball,133 MT/s,-40C to +85C
MT29F8G01ADBFD12-AAT,8Gb,Production,x1,1.8V,TSOP,24-ball,83 MT/s,-40C to +105C
MT29F8G01ADBFD12-IT,8Gb,Production,x1,1.8V,TSOP,24-ball,83 MT/s,-40C to +85C
MT29F8G08ABABAM61A3WC1,8Gb,Contact Factory,x8,3.3V,Wafer,n/a,(Empty),0C to +70C
MT29F8G08ABABAWP,8Gb,Contact Factory,x8,3.3V,TSOP,48-pin,(Empty),0C to +70C
MT29F8G08ABABAWP-AATX,8Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +105C
MT29F8G08ABABAWP-AITX,8Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F8G08ABABAWP-IT,8Gb,End of Life,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F8G08ABABAWP-ITX,8Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F8G08ABACAH4-IT,8Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F8G08ABACAM71M3WC1,8Gb,Contact Factory,x8,3.3V,Wafer,n/a,(Empty),0C to +70C
MT29F8G08ABACAWP,8Gb,Obsolete,x8,3.3V,TSOP,48-pin,(Empty),0C to +70C
MT29F8G08ABACAWP-IT,8Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F8G08ABBCAH4-IT,8Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F8G08ADADAH4-IT,8Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F8G08ADAFAH4-AAT,8Gb,Production,x8,3.3V,VFBGA,63-ball,50 MT/s,-40C to +105C
MT29F8G08ADAFAWP-AAT,8Gb,Production,x8,3.3V,TSOP,48-pin,50 MT/s,-40C to +105C
MT29F8G08ADAFAWP-AIT,8Gb,Production,x8,3.3V,TSOP,48-pin,50 MT/s,-40C to +105C
MT29F8G08ADBDAH4-AAT,8Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F8G08ADBDAH4-IT,8Gb,Obsolete,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F8G08ADBFAH4-AAT,8Gb,Production,x8,1.8V,VFBGA,63-ball,50 MT/s,-40C to +105C
MT29F8G16ABACAWP-IT,8Gb,Production,x16,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F8G16ADADAH4-IT,8Gb,Production,x16,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F8G16ADBDAH4-AIT,8Gb,Production,x16,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
